n,has_partitions,p,q,j,k
677,True,2,673,2,1
677,True,2,613,6,1
683,True,2,619,6,1
691,True,2,683,3,1
691,True,2,563,7,1
691,True,2,659,5,1
691,True,2,179,9,1
701,False,,,,
709,True,2,701,3,1
709,True,2,197,9,1
709,True,2,677,5,1
727,True,2,599,7,1
727,True,2,719,3,1
733,True,2,701,5,1
733,True,2,3,2,6
739,True,2,227,9,1
743,True,2,739,2,1
743,True,2,727,4,1
743,True,2,487,8,1
751,True,2,719,5,1
751,True,2,239,9,1
751,True,2,743,3,1
719,True,2,463,8,1
757,False,,,,
769,True,2,641,7,1
769,True,2,257,9,1
769,True,2,761,3,1
787,True,2,659,7,1
773,True,2,709,6,1
773,True,2,757,4,1
773,True,2,769,2,1
761,True,2,3,5,6
761,True,2,757,2,1
797,True,2,541,8,1
797,True,2,733,6,1
811,True,2,683,7,1
811,True,2,809,1,1
809,False,,,,
821,True,2,757,6,1
823,True,2,311,9,1
823,True,2,821,1,1
827,True,2,823,2,1
827,True,2,571,8,1
827,True,2,811,4,1
839,True,2,823,4,1
829,True,2,317,9,1
829,True,2,797,5,1
829,True,2,701,7,1
829,True,2,821,3,1
829,True,2,827,1,1
853,True,2,821,5,1
863,True,2,859,2,1
863,True,2,607,8,1
857,True,2,29,4,2
857,True,2,601,8,1
857,True,2,853,2,1
857,True,2,3,7,6
859,True,2,827,5,1
859,True,2,857,1,1
859,True,2,347,9,1
877,False,,,,
881,True,2,877,2,1
881,True,2,5,8,4
907,False,,,,
887,True,2,883,2,1
887,True,2,823,6,1
887,True,2,631,8,1
883,True,2,881,1,1
911,True,2,907,2,1
919,True,2,887,5,1
919,True,2,911,3,1
929,True,2,673,8,1
937,True,2,929,3,1
937,True,2,809,7,1
941,True,2,877,6,1
941,True,2,937,2,1
947,True,2,883,6,1
947,True,2,691,8,1
953,True,2,937,4,1
971,True,2,967,2,1
971,True,2,907,6,1
967,True,2,839,7,1
991,True,2,479,9,1
991,True,2,863,7,1
991,True,2,983,3,1
983,True,2,919,6,1
983,True,2,967,4,1
983,True,2,727,8,1
997,False,,,,
977,True,2,31,4,2
1009,True,2,881,7,1
1009,True,2,977,5,1
1013,True,2,757,8,1
1013,True,2,997,4,1
1013,True,2,1009,2,1
1019,False,,,,
1021,True,2,1013,3,1
1021,True,2,1019,1,1
1021,True,2,509,9,1
1031,True,2,7,10,1
1031,True,2,967,6,1
1033,True,2,521,9,1
1033,True,2,3,10,2
1033,True,2,1031,1,1
1049,True,2,1033,4,1
1049,True,2,5,10,2
1039,True,2,1031,3,1
1039,True,2,911,7,1
1051,True,2,1019,5,1
1051,True,2,1049,1,1
1051,True,2,3,10,3
1069,True,2,1061,3,1
1069,True,2,941,7,1
1069,True,2,557,9,1
1087,False,,,,
1063,True,2,1061,1,1
1063,True,2,1031,5,1
1061,True,2,997,6,1
1061,True,2,37,10,1
1091,True,2,1087,2,1
1091,True,2,67,10,1
1093,True,2,1061,5,1
1093,True,2,1091,1,1
1097,True,2,1033,6,1
1097,True,2,1093,2,1
1097,True,2,29,8,2
1097,True,2,73,10,1
1103,True,2,1039,6,1
1103,True,2,79,10,1
1103,True,2,1087,4,1
1109,True,2,853,8,1
1109,True,2,1093,4,1
1117,True,2,1109,3,1
1123,True,2,1091,5,1
1151,True,2,1087,6,1
1151,True,2,127,10,1
1153,True,2,1151,1,1
1153,True,2,641,9,1
1129,True,2,1097,5,1
1129,True,2,617,9,1
1163,True,2,139,10,1
1163,True,2,907,8,1
1181,True,2,157,10,1
1181,True,2,1117,6,1
1171,True,2,659,9,1
1171,True,2,1163,3,1
1187,True,2,1123,6,1
1187,True,2,163,10,1
1187,True,2,1171,4,1
1193,True,2,13,10,2
1193,True,2,937,8,1
1193,True,2,1129,6,1
1201,True,2,1193,3,1
1217,True,2,31,8,2
1217,True,2,193,10,1
1217,True,2,1213,2,1
1217,True,2,1153,6,1
1217,True,2,1201,4,1
1213,True,2,701,9,1
1213,True,2,1181,5,1
1223,True,2,199,10,1
1223,True,2,967,8,1
1231,True,2,1229,1,1
1231,True,2,719,9,1
1231,True,2,1103,7,1
1231,True,2,1223,3,1
1237,True,2,1229,3,1
1237,True,2,1109,7,1
1229,True,2,1213,4,1
1259,False,,,,
1277,True,2,1021,8,1
1277,True,2,1213,6,1
1249,True,2,1217,5,1
1283,True,2,1279,2,1
1279,True,2,1277,1,1
1279,True,2,1151,7,1
1289,True,2,1033,8,1
1291,True,2,1289,1,1
1291,True,2,1259,5,1
1291,True,2,1163,7,1
1291,True,2,1283,3,1
1297,True,2,1289,3,1
1301,True,2,277,10,1
1301,True,2,1297,2,1
1301,True,2,1237,6,1
1303,True,2,1301,1,1
1307,True,2,283,10,1
1307,True,2,1303,2,1
1307,True,2,1291,4,1
1307,True,2,1051,8,1
1321,True,2,1193,7,1
1321,True,2,1289,5,1
1321,True,2,1319,1,1
1321,True,2,809,9,1
1327,True,2,1319,3,1
1361,True,2,337,10,1
1361,True,2,1297,6,1
1373,True,2,1117,8,1
1373,True,2,37,2,2
1373,True,2,349,10,1
