n,has_partitions,p,q,j,k
359,True,2.0,103.0,8.0,1.0
359,True,2.0,7.0,4.0,3.0
367,True,2.0,239.0,7.0,1.0
367,True,2.0,359.0,3.0,1.0
373,False,,,,
379,True,2.0,251.0,7.0,1.0
379,True,2.0,347.0,5.0,1.0
383,True,2.0,367.0,4.0,1.0
383,True,2.0,127.0,8.0,1.0
383,True,2.0,379.0,2.0,1.0
389,True,2.0,373.0,4.0,1.0
397,True,2.0,389.0,3.0,1.0
397,True,2.0,269.0,7.0,1.0
401,True,2.0,337.0,6.0,1.0
401,True,2.0,397.0,2.0,1.0
409,True,2.0,281.0,7.0,1.0
409,True,2.0,401.0,3.0,1.0
419,True,2.0,163.0,8.0,1.0
421,True,2.0,389.0,5.0,1.0
421,True,2.0,293.0,7.0,1.0
421,True,2.0,419.0,1.0,1.0
431,True,2.0,367.0,6.0,1.0
433,True,2.0,401.0,5.0,1.0
433,True,2.0,431.0,1.0,1.0
439,True,2.0,431.0,3.0,1.0
439,True,2.0,311.0,7.0,1.0
443,True,2.0,379.0,6.0,1.0
443,True,2.0,439.0,2.0,1.0
449,True,2.0,193.0,8.0,1.0
449,True,2.0,433.0,4.0,1.0
457,True,2.0,449.0,3.0,1.0
461,True,2.0,457.0,2.0,1.0
461,True,2.0,397.0,6.0,1.0
463,True,2.0,431.0,5.0,1.0
463,True,2.0,461.0,1.0,1.0
467,True,2.0,463.0,2.0,1.0
467,True,2.0,211.0,8.0,1.0
479,True,2.0,223.0,8.0,1.0
479,True,2.0,463.0,4.0,1.0
487,True,2.0,479.0,3.0,1.0
487,True,2.0,359.0,7.0,1.0
491,True,2.0,487.0,2.0,1.0
499,True,2.0,467.0,5.0,1.0
499,True,2.0,491.0,3.0,1.0
499,True,2.0,3.0,8.0,5.0
503,True,2.0,487.0,4.0,1.0
503,True,2.0,499.0,2.0,1.0
503,True,2.0,439.0,6.0,1.0
509,False,,,,
521,True,2.0,3.0,9.0,2.0
521,True,2.0,457.0,6.0,1.0
523,True,2.0,491.0,5.0,1.0
523,True,2.0,521.0,1.0,1.0
523,True,2.0,11.0,9.0,1.0
541,True,2.0,29.0,9.0,1.0
541,True,2.0,509.0,5.0,1.0
547,True,2.0,419.0,7.0,1.0
557,True,2.0,541.0,4.0,1.0
563,True,2.0,307.0,8.0,1.0
563,True,2.0,547.0,4.0,1.0
563,True,2.0,499.0,6.0,1.0
569,True,2.0,313.0,8.0,1.0
571,True,2.0,569.0,1.0,1.0
571,True,2.0,443.0,7.0,1.0
571,True,2.0,563.0,3.0,1.0
571,True,2.0,59.0,9.0,1.0
577,True,2.0,449.0,7.0,1.0
577,True,2.0,569.0,3.0,1.0
587,True,2.0,571.0,4.0,1.0
587,True,2.0,331.0,8.0,1.0
587,True,2.0,523.0,6.0,1.0
593,True,2.0,337.0,8.0,1.0
593,True,2.0,3.0,9.0,4.0
593,True,2.0,23.0,6.0,2.0
593,True,2.0,577.0,4.0,1.0
599,True,2.0,7.0,8.0,3.0
601,True,2.0,569.0,5.0,1.0
601,True,2.0,593.0,3.0,1.0
601,True,2.0,599.0,1.0,1.0
601,True,2.0,89.0,9.0,1.0
607,True,2.0,599.0,3.0,1.0
607,True,2.0,479.0,7.0,1.0
613,True,2.0,101.0,9.0,1.0
617,True,2.0,613.0,2.0,1.0
617,True,2.0,19.0,8.0,2.0
617,True,2.0,601.0,4.0,1.0
619,True,2.0,617.0,1.0,1.0
619,True,2.0,491.0,7.0,1.0
619,True,2.0,587.0,5.0,1.0
